STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total
ASSAM,HAILAKANDI,2001,24,34,2,27,0,28,0,115
ASSAM,JORHAT,2001,42,28,2,44,0,48,0,164
ASSAM,KAMRUP,2001,21,65,2,42,0,27,0,157
ASSAM,KARBI ANGLONG,2001,5,15,4,5,0,8,0,37
ASSAM,KARIMGANJ,2001,33,8,1,9,0,30,0,81
ASSAM,KOKRAJHAR,2001,14,12,0,37,0,20,0,83
ASSAM,LAKHIMPUR,2001,64,62,0,22,0,93,0,241
ASSAM,MORIGAON,2001,23,37,0,6,0,28,0,94
ASSAM,N.C.HILLS,2001,2,4,0,2,0,7,0,15
ASSAM,NAGAON,2001,51,109,1,113,4,132,0,410
ASSAM,NALBARI,2001,30,27,3,16,0,15,0,91
ASSAM,R.P.O.,2001,3,0,0,0,0,0,0,3
ASSAM,SIBSAGAR,2001,47,64,0,28,0,0,0,139
ASSAM,SONITPUR,2001,53,80,1,43,0,99,0,276
ASSAM,TINSUKIA,2001,41,48,2,9,0,21,0,121
BIHAR,ARARIA,2001,93,13,11,3,0,50,0,170
BIHAR,ARWAL,2001,0,0,7,11,0,14,0,32
BIHAR,AURANGABAD,2001,16,4,33,13,2,19,0,87
BIHAR,BAGAHA,2001,25,6,0,4,0,2,0,37
BIHAR,BANKA,2001,34,10,9,0,0,16,0,69
BIHAR,BEGUSARAI,2001,13,7,21,32,0,21,0,94
BIHAR,BETTIAH,2001,20,23,17,23,0,54,8,145
BIHAR,BHABHUA,2001,10,12,8,7,0,22,0,59
BIHAR,BHAGALPUR,2001,35,9,20,15,0,52,0,131
BIHAR,BHOJPUR,2001,22,13,23,0,4,29,0,91
BIHAR,BUXAR,2001,8,1,15,0,0,0,0,24
BIHAR,DARBHANGA,2001,19,16,37,40,0,34,0,146
BIHAR,GAYA,2001,25,15,26,27,0,24,0,117
BIHAR,GOPALGANJ,2001,13,18,22,0,2,155,0,210
BIHAR,JAMALPUR RLY.,2001,1,0,0,1,0,1,0,3
BIHAR,JAMUI,2001,10,1,16,8,0,15,0,50
BIHAR,JEHANABAD,2001,6,5,25,0,0,4,0,40
BIHAR,KATIHAR,2001,51,20,6,6,0,29,0,112
BIHAR,KATIHAR RLY.,2001,0,1,0,2,0,0,0,3
