STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total
UTTAR PRADESH,KANNAUJ,2001,8,19,22,18,7,63,0,137
UTTAR PRADESH,KANPUR DEHAT,2001,21,34,39,45,7,79,0,225
UTTAR PRADESH,KANPUR NAGAR,2001,47,176,64,106,213,356,0,962
UTTAR PRADESH,KAUSHAMBI,2001,26,23,28,44,9,72,0,202
UTTAR PRADESH,KHIRI,2001,83,90,88,99,24,138,0,522
UTTAR PRADESH,KUSHI NAGAR,2001,7,20,18,19,35,14,0,113
UTTAR PRADESH,LALITPUR,2001,20,5,10,26,9,31,0,101
UTTAR PRADESH,LUCKNOW,2001,62,138,47,103,148,337,0,835
UTTAR PRADESH,MAHARAJGANJ,2001,13,13,7,13,37,10,0,93
UTTAR PRADESH,MAHOBA,2001,12,7,11,22,3,4,0,59
UTTAR PRADESH,MAINPURI,2001,13,31,42,32,3,63,0,184
UTTAR PRADESH,MATHURA,2001,25,33,21,48,50,77,0,254
UTTAR PRADESH,MAU,2001,17,25,16,33,27,39,0,157
UTTAR PRADESH,MEERUT,2001,28,96,34,59,123,236,0,576
UTTAR PRADESH,MIRZAPUR,2001,16,6,23,16,21,39,0,121
UTTAR PRADESH,MORADABAD,2001,44,72,45,79,85,207,0,532
UTTAR PRADESH,MUZAFFARNAGAR,2001,54,67,24,51,33,265,0,494
UTTAR PRADESH,PILIBHIT,2001,64,47,44,50,20,195,0,420
UTTAR PRADESH,PRATAPGARH,2001,18,35,33,21,9,44,0,160
UTTAR PRADESH,RAIBAREILLY,2001,58,50,29,57,17,137,0,348
UTTAR PRADESH,RAMPUR,2001,22,27,18,11,0,49,0,127
UTTAR PRADESH,SAHARANPUR,2001,41,52,21,45,96,196,0,451
UTTAR PRADESH,SANT KABIRNAGAR,2001,9,16,7,11,6,26,0,75
UTTAR PRADESH,SHAHJAHANPUR,2001,55,68,66,61,21,146,0,417
UTTAR PRADESH,SHRAWASTI,2001,13,18,4,16,8,18,0,77
UTTAR PRADESH,SIDHARTHNAGAR,2001,12,24,13,20,3,28,0,100
UTTAR PRADESH,SITAPUR,2001,85,47,82,71,35,106,0,426
UTTAR PRADESH,SONBHADRA,2001,5,6,12,9,4,5,0,41
UTTAR PRADESH,ST.RAVIDASNAGAR,2001,1,7,9,3,3,23,0,46
UTTAR PRADESH,SULTANPUR,2001,29,35,38,34,17,153,0,306
UTTAR PRADESH,UNNAO,2001,53,79,63,100,12,168,0,475
UTTAR PRADESH,VARANASI,2001,27,35,31,19,90,119,0,321
UTTARAKHAND,ALMORA,2001,4,1,3,5,0,5,0,18
UTTARAKHAND,BAGESHWAR,2001,1,4,8,1,0,0,0,14
UTTARAKHAND,CHAMOLI,2001,3,3,3,10,0,1,0,20
UTTARAKHAND,CHAMPAWAT,2001,0,3,0,7,0,5,0,15
