STATE/UT,DISTRICT,Year,Rape,Kidnapping_&_Abduction,Dowry_Deaths,Assault_on_women_with_intent_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_of_Girls,Total,Latitude,Longitude
ASSAM,LAKHIMPUR,2001,64,62,0,22,0,93,0,241,27.14128806,94.07759493
ASSAM,MORIGAON,2001,23,37,0,6,0,28,0,94,26.24650047,92.21949953
ASSAM,N.C.HILLS,2001,2,4,0,2,0,7,0,15,25.33829985,92.97740206
ASSAM,NAGAON,2001,51,109,1,113,4,132,0,410,26.26462171,92.93061911
ASSAM,NALBARI,2001,30,27,3,16,0,15,0,91,26.46323768,91.40598521
ASSAM,R.P.O.,2001,3,0,0,0,0,0,0,3,,
ASSAM,SIBSAGAR,2001,47,64,0,28,0,0,0,139,27.0276287,94.90025848
ASSAM,SONITPUR,2001,53,80,1,43,0,99,0,276,26.73514927,92.85197805
ASSAM,TINSUKIA,2001,41,48,2,9,0,21,0,121,27.53549291,95.69055949
BIHAR,ARARIA,2001,93,13,11,3,0,50,0,170,26.21152812,87.30766555
BIHAR,ARWAL,2001,0,0,7,11,0,14,0,32,25.1643,84.6688
BIHAR,AURANGABAD,2001,16,4,33,13,2,19,0,87,24.77429187,84.45986024
BIHAR,BAGAHA,2001,25,6,0,4,0,2,0,37,27.1222,84.0722
BIHAR,BANKA,2001,34,10,9,0,0,16,0,69,24.83235564,86.86649163
BIHAR,BEGUSARAI,2001,13,7,21,32,0,21,0,94,25.54302613,86.12560144
BIHAR,BETTIAH,2001,20,23,17,23,0,54,8,145,26.8028,84.517
BIHAR,BHABHUA,2001,10,12,8,7,0,22,0,59,25.0426,83.6056
BIHAR,BHAGALPUR,2001,35,9,20,15,0,52,0,131,25.27719289,87.04213814
BIHAR,BHOJPUR,2001,22,13,23,0,4,29,0,91,25.50666439,84.49407803
BIHAR,BUXAR,2001,8,1,15,0,0,0,0,24,25.48593019,84.08808082
BIHAR,DARBHANGA,2001,19,16,37,40,0,34,0,146,26.14618772,85.97387352
BIHAR,GAYA,2001,25,15,26,27,0,24,0,117,24.72665415,84.94291218
BIHAR,GOPALGANJ,2001,13,18,22,0,2,155,0,210,26.44874364,84.34636127
BIHAR,JAMALPUR RLY.,2001,1,0,0,1,0,1,0,3,25.3137,86.4906
BIHAR,JAMUI,2001,10,1,16,8,0,15,0,50,24.7841838,86.26316298
BIHAR,JEHANABAD,2001,6,5,25,0,0,4,0,40,25.15567905,84.92081245
BIHAR,KATIHAR,2001,51,20,6,6,0,29,0,112,25.56565356,87.70466084
BIHAR,KATIHAR RLY.,2001,0,1,0,2,0,0,0,3,25.548,87.5652
BIHAR,KHAGARIA,2001,5,6,11,6,0,2,0,30,25.53558891,86.56593256
BIHAR,KISHANGANJ,2001,22,16,4,2,1,39,0,84,26.32433676,87.95045007
BIHAR,LAKHISARAI,2001,10,7,6,12,0,5,0,40,25.18344932,86.12825701
BIHAR,MADHEPURA,2001,11,15,6,3,0,10,0,45,25.77341929,86.8978444
BIHAR,MADHUBANI,2001,13,11,12,41,0,18,0,95,26.41380538,86.1632836
BIHAR,MOTIHARI,2001,44,35,37,3,1,47,0,167,26.6438,84.904
BIHAR,MUNGER,2001,11,15,8,0,0,39,0,73,25.19853796,86.54173673
BIHAR,MUZAFFARPUR,2001,73,25,69,81,0,141,6,395,26.18664417,85.32745092
BIHAR,MUZAFFARPUR RLY.,2001,2,1,0,4,0,1,0,8,26.1219,8503791
BIHAR,NALANDA,2001,40,12,47,14,2,54,0,169,25.22934551,85.48053114
BIHAR,NAUGACHIA,2001,7,9,4,0,0,5,0,25,25.3873,87.098
BIHAR,NAWADAH,2001,15,1,17,7,0,13,1,54,24.8911,85.5355
BIHAR,PATNA,2001,27,11,90,47,0,152,39,366,25.40297115,85.31984336
BIHAR,PATNA RLY.,2001,1,1,0,9,0,0,0,11,25.6033,85.137
BIHAR,PURNEA,2001,39,23,8,5,0,22,0,97,25.81714802,87.40447607
BIHAR,ROHTAS,2001,25,18,36,21,0,59,0,159,24.99170461,83.93507627
BIHAR,SAHARSA,2001,12,10,7,9,0,12,0,50,25.8212707,86.5467082
BIHAR,SAMASTIPUR,2001,19,29,11,17,9,35,29,149,25.79320556,85.94833323
BIHAR,SARAN,2001,20,15,67,22,0,101,0,225,25.89656078,84.82266287
BIHAR,SHEIKHPURA,2001,3,1,9,0,0,32,0,45,25.12472437,85.77839391
BIHAR,SHEOHAR,2001,11,7,3,0,0,2,0,23,26.45838075,85.29539412
BIHAR,SITAMARHI,2001,23,20,13,1,0,21,0,78,26.5657007,85.61172491
BIHAR,SIWAN,2001,4,26,32,6,0,10,0,78,26.1736372,84.33766553
BIHAR,SUPAUL,2001,30,2,7,8,0,18,0,65,26.28157894,86.78496465
BIHAR,VAISHALI,2001,20,28,59,52,0,179,0,338,25.81347032,85.39247597
CHHATTISGARH,BALRAMPUR,2001,17,1,1,18,0,7,0,44,27.44907654,82.47158326
UTTAR PRADESH,BALRAMPUR,2001,8,19,12,23,11,30,0,103,27.44907654,82.47158326
CHHATTISGARH,BILASPUR,2001,69,20,7,180,10,94,0,380,22.35694298,81.99770351
HIMACHAL PRADESH,BILASPUR,2001,5,9,1,35,1,47,0,98,22.35694298,81.99770351
CHHATTISGARH,BIZAPUR,2001,4,0,0,1,0,0,0,5,18.7977,80.8129
CHHATTISGARH,DANTEWARA,2001,19,8,1,18,1,3,0,50,18.65385409,81.0720012
CHHATTISGARH,DHAMTARI,2001,22,4,1,41,5,6,0,79,20.55491263,81.75691955
CHHATTISGARH,DURG,2001,144,42,12,287,38,231,0,754,21.19446385,81.3318164
CHHATTISGARH,GRP RAIPUR,2001,0,0,0,4,0,1,0,5,21.2514,81.6296
CHHATTISGARH,JAGDALPUR,2001,59,4,3,49,2,14,0,131,19.0741,82.008
CHHATTISGARH,JANJGIR,2001,29,6,9,110,13,116,0,283,21.96109375,82.80495409
CHHATTISGARH,JASHPUR,2001,36,2,2,41,1,4,0,86,22.77286168,83.87039621
CHHATTISGARH,KANKER,2001,42,4,1,36,3,10,0,96,20.13946129,81.06913081
CHHATTISGARH,KAWARDHA,2001,35,0,1,45,4,15,0,100,22.04800079,81.16271188
CHHATTISGARH,KORBA,2001,46,13,1,90,7,31,0,188,22.4917125,82.57604327
CHHATTISGARH,KORIYA,2001,34,7,3,102,2,31,0,179,23.50412777,82.12515636
CHHATTISGARH,MAHASAMUND,2001,43,7,6,69,6,21,0,152,21.22372704,82.65925427
CHHATTISGARH,RAIGARH,2001,53,6,2,104,5,22,0,192,22.00826507,83.27797699
CHHATTISGARH,RAIPUR,2001,104,28,16,253,42,121,0,564,20.88603154,82.2003276
CHHATTISGARH,RAJNANDGAON,2001,58,3,3,92,12,51,0,219,21.05841473,80.78526694
CHHATTISGARH,SARGUJA,2001,145,16,1,223,10,62,0,457,23.32719279,83.23582494
GOA,NORTH GOA,2001,4,1,2,12,2,6,0,27,15.54872342,73.80667998
GOA,SOUTH GOA,2001,8,5,0,5,5,5,0,28,15.19527866,73.9417926
GUJARAT,AHMEDABAD COMMR.,2001,39,117,7,54,27,530,0,774,23.03386,72.5858
GUJARAT,AHMEDABAD RURAL,2001,5,27,0,26,0,84,0,142,23.0225,72.5715
GUJARAT,AHWA-DANG,2001,1,1,0,2,0,2,0,6,20.7584,73.6864
GUJARAT,AMRELI,2001,2,34,2,21,0,94,0,153,21.04832649,71.43457638
GUJARAT,ANAND,2001,3,28,0,27,3,210,0,271,22.28271821,72.57782052
GUJARAT,BHARUCH,2001,4,34,0,19,0,56,0,113,21.75787276,72.67326347
GUJARAT,BHAVNAGAR,2001,9,51,2,36,7,129,0,234,21.7021939,72.16272633
GUJARAT,DAHOD,2001,5,15,0,17,0,11,0,48,22.89799225,73.99170613
GUJARAT,GANDHINAGAR,2001,4,12,3,37,7,116,0,179,23.19367979,72.6722168
GUJARAT,HIMATNAGAR,2001,17,29,4,51,0,165,0,266,23.6036,72.9639
GUJARAT,JAMNAGAR,2001,20,22,2,18,2,163,0,227,22.41060041,69.62062006
GUJARAT,JUNAGADH,2001,14,39,11,44,8,384,0,500,20.72568199,70.8398564
GUJARAT,KHEDA NORTH,2001,11,30,0,43,0,122,0,206,22.88765313,73.01880352
GUJARAT,KUTCH,2001,2,22,2,25,1,176,0,228,23.7337,69.8597
GUJARAT,MEHSANA,2001,4,49,5,47,1,188,0,294,23.52935545,72.45545194
GUJARAT,NARMADA,2001,8,8,0,7,1,9,0,33,21.70666386,73.68403209
