STATE/UT,DISTRICT,Year,Rape,Kidnapping_&_Abduction,Dowry_Deaths,Assault_on_women_with_intent_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_of_Girls,Total,Latitude,Longitude
KERALA,KOZHIKODE,2001,39,10,2,118,8,319,0,496,11.39292427,75.7115872
KERALA,MALAPPURAM,2001,71,4,3,92,3,448,0,621,10.97329876,75.93910776
KERALA,PALAKKAD,2001,63,10,5,112,10,215,0,415,10.7849269,76.49980491
KERALA,PATHANAMTHITTA,2001,12,0,0,90,3,95,0,200,9.291312393,76.86412329
KERALA,THRISSUR,2001,42,9,2,223,16,198,0,490,10.45893265,76.12321941
KERALA,TRIVANDRUM,2001,57,21,6,345,2,210,0,641,,
KERALA,WAYANADU,2001,35,1,0,56,3,59,0,154,11.71527746,76.07587007
MADHYA PRADESH,BALAGHAT,2001,87,11,3,157,12,72,0,342,21.80020721,80.42170053
MADHYA PRADESH,BARWANI,2001,34,2,5,81,9,18,0,149,21.70213571,74.9100472
MADHYA PRADESH,BETUL,2001,95,16,7,135,4,71,0,328,21.96462632,77.78734282
MADHYA PRADESH,BHIND,2001,31,20,34,80,2,54,0,221,26.35951126,78.76183243
MADHYA PRADESH,BHOPAL,2001,106,48,15,252,56,132,0,609,23.48072614,77.39246623
MADHYA PRADESH,BHOPAL RLY.,2001,1,2,0,10,3,0,0,16,23.269,77.4158
MADHYA PRADESH,CHHATARPUR,2001,65,23,20,193,10,46,0,357,24.81363738,79.56449299
MADHYA PRADESH,CHHINDWARA,2001,93,16,10,203,32,109,0,463,22.22796697,78.76413136
MADHYA PRADESH,DAMOH,2001,66,10,28,189,0,58,0,351,23.76624408,79.47049303
MADHYA PRADESH,DATIYA,2001,12,8,8,57,0,18,0,103,25.9022644,78.63916571
MADHYA PRADESH,DEWAS,2001,78,11,15,279,80,96,0,559,22.785111,76.46088806
MADHYA PRADESH,DHAR,2001,68,18,41,168,21,88,0,404,22.57268172,75.11056207
MADHYA PRADESH,DINDORI,2001,20,2,0,53,6,4,0,85,22.83738437,81.04332967
MADHYA PRADESH,GUNA,2001,124,15,7,317,22,95,0,580,24.49043927,77.2235896
MADHYA PRADESH,GWALIOR,2001,59,22,20,139,8,49,0,297,26.04074442,78.12782433
MADHYA PRADESH,HARDA,2001,28,2,9,35,0,27,0,101,22.22765978,77.07022572
MADHYA PRADESH,HOSHANGABAD,2001,65,13,9,109,6,31,0,233,22.5952688,78.02168095
MADHYA PRADESH,INDORE,2001,84,35,25,215,63,161,0,583,22.68026575,75.91338013
MADHYA PRADESH,INDORE RLY.,2001,2,0,0,5,1,0,0,8,22.7172,75.8683
MADHYA PRADESH,JABALPUR,2001,108,20,28,264,50,81,0,551,23.18525572,79.98328755
MADHYA PRADESH,JABALPUR RLY.,2001,0,0,1,4,0,0,0,5,23.1655,79.9506
MADHYA PRADESH,JHABUA,2001,44,80,5,127,4,24,0,284,22.41957802,74.40921617
MADHYA PRADESH,KATNI,2001,25,3,11,106,12,59,0,216,23.72441623,80.33819666
MADHYA PRADESH,KHANDWA,2001,63,12,11,184,15,49,0,334,21.8257,76.3526
MADHYA PRADESH,KHARGON,2001,47,14,5,164,29,21,0,280,21.9029,75.8069
MADHYA PRADESH,MANDLA,2001,64,9,4,151,19,46,0,293,22.70348712,80.38600544
MADHYA PRADESH,MANDSAUR,2001,41,8,4,102,11,30,0,196,24.19278764,75.43588668
MADHYA PRADESH,MORENA,2001,35,18,29,77,2,34,0,195,26.37313505,77.88447341
MADHYA PRADESH,NARSINGHPUR,2001,70,4,22,156,16,40,0,308,22.95134468,79.00202423
MADHYA PRADESH,NEEMUCH,2001,37,7,1,83,18,62,0,208,24.70311893,75.06608187
MADHYA PRADESH,PANNA,2001,44,10,19,104,2,31,0,210,24.45132584,80.21133001
MADHYA PRADESH,RAISEN,2001,79,9,20,194,31,50,0,383,23.29251821,78.16305496
MADHYA PRADESH,RAJGARH,2001,95,9,7,196,26,49,0,382,23.78549903,76.66431224
MADHYA PRADESH,RATLAM,2001,70,13,4,125,28,53,0,293,23.50356229,75.14895782
MADHYA PRADESH,REWA,2001,31,18,18,105,2,56,0,230,24.86118463,81.57572465
MADHYA PRADESH,SAGAR,2001,141,16,29,509,0,142,0,837,23.80031871,78.71940358
MADHYA PRADESH,SATNA,2001,58,5,19,157,6,65,0,310,24.62777622,80.75547049
MADHYA PRADESH,SEONI,2001,52,2,10,106,23,25,0,218,22.33230488,79.66053864
MADHYA PRADESH,SHAHDOL,2001,63,13,9,216,3,87,0,391,23.44859865,81.45968318
MADHYA PRADESH,SHAJAPUR,2001,90,8,8,153,36,65,0,360,23.56662032,76.33555181
MADHYA PRADESH,SHEOPUR,2001,21,3,6,52,0,14,0,96,25.78014811,77.16911117
MADHYA PRADESH,SHIVPURI,2001,72,11,14,172,2,26,0,297,25.37802452,77.74861601
MADHYA PRADESH,SIDHI,2001,42,30,27,105,2,66,0,272,24.1754719,82.10537834
MADHYA PRADESH,SIHORE,2001,59,27,5,130,17,45,0,283,22.92971997,77.06780203
MADHYA PRADESH,TIKAMGARH,2001,86,4,15,177,2,27,0,311,25.14099852,78.89357065
MADHYA PRADESH,UJJAIN,2001,59,33,7,161,33,109,0,402,23.31928886,75.80383718
MADHYA PRADESH,UMARIYA,2001,25,2,2,61,5,21,0,116,23.59601063,80.90879477
MADHYA PRADESH,VIDISHA,2001,112,6,13,245,22,56,0,454,23.82838308,77.90135076
MAHARASHTRA,AHMEDNAGAR,2001,44,25,0,74,2,496,0,641,19.21759903,74.69220261
MAHARASHTRA,AKOLA,2001,15,14,2,109,7,189,0,336,20.74631048,77.1212232
MAHARASHTRA,AMRAVATI COMMR.,2001,23,23,10,43,26,55,0,180,,
MAHARASHTRA,AMRAVATI RURAL,2001,42,25,4,99,38,92,0,300,21.16520992,77.67583503
MAHARASHTRA,AURANGABAD COMMR.,2001,14,14,4,33,12,102,0,179,,
MAHARASHTRA,AURANGABAD RURAL,2001,28,6,6,53,12,247,0,352,19.8762,75.3433
MAHARASHTRA,BEED,2001,22,15,2,78,15,177,0,309,18.95235334,75.69319706
MAHARASHTRA,BHANDARA,2001,39,1,5,71,37,60,0,213,21.21179265,80.109502
MAHARASHTRA,BULDHANA,2001,22,18,35,118,21,223,0,437,20.56680611,76.3901788
MAHARASHTRA,CHANDRAPUR,2001,43,7,2,102,28,144,0,326,20.09560909,79.3155638
MAHARASHTRA,DHULE,2001,16,6,6,17,8,127,0,180,21.27401869,74.58719072
MAHARASHTRA,GADCHIROLI,2001,27,6,0,55,17,57,0,162,19.7955461,80.30965564
MAHARASHTRA,GONDIA,2001,23,17,4,85,22,80,0,231,21.22500841,80.17522699
MAHARASHTRA,HINGOLI,2001,20,8,2,44,4,134,0,212,19.59525302,77.09239413
MAHARASHTRA,JALGAON,2001,19,12,5,76,31,389,0,532,20.88289434,75.55140422
MAHARASHTRA,JALNA,2001,16,8,5,56,7,172,0,264,19.98461253,75.98473607
MAHARASHTRA,KOLHAPUR,2001,26,13,19,46,7,80,0,191,16.44881302,74.12897151
MAHARASHTRA,LATUR,2001,7,22,38,50,7,150,0,274,18.34868727,76.75812608
MAHARASHTRA,MUMBAI,2001,127,12,18,274,44,198,0,673,19.076,72.8777
MAHARASHTRA,MUMBAI RLY.,2001,2,0,0,5,0,0,0,7,18.9728,72.8206
MAHARASHTRA,NAGPUR COMMR.,2001,39,51,7,75,56,218,0,446,,
MAHARASHTRA,NAGPUR RLY.,2001,2,0,2,4,0,0,0,8,21.1523,79.0882
MAHARASHTRA,NAGPUR RURAL,2001,81,16,3,131,294,141,0,666,21.1579,79.0726
MAHARASHTRA,NANDED,2001,23,36,21,85,22,202,0,389,19.20931698,77.6829049
MAHARASHTRA,NANDURBAR,2001,16,6,2,27,1,78,0,130,21.52317563,74.32638757
MAHARASHTRA,NASIK COMMR.,2001,9,9,3,19,2,99,0,141,,
MAHARASHTRA,NASIK RURAL,2001,39,10,7,74,37,339,0,506,19.997454,73.789803
MAHARASHTRA,NAVI MUMBAI,2001,17,7,5,23,5,57,0,114,19.033,73.0297
MAHARASHTRA,OSMANABAD,2001,16,7,2,52,6,102,0,185,18.19459456,75.99495575
MAHARASHTRA,PARBHANI,2001,25,16,1,57,10,120,0,229,19.31032425,76.70163339
MAHARASHTRA,PUNE COMMR.,2001,56,28,2,54,105,147,1,393,,
MAHARASHTRA,PUNE RLY.,2001,0,0,0,3,0,0,0,3,18.5286,73.8746
MAHARASHTRA,PUNE RURAL,2001,42,17,5,64,11,165,0,304,18.516726,73.856255
MAHARASHTRA,RAIGAD,2001,20,1,1,29,7,55,0,113,18.5158,73.1822
MAHARASHTRA,RATNAGIRI,2001,10,4,0,32,19,62,0,127,17.21019507,73.25725894
MAHARASHTRA,SANGLI,2001,32,8,12,54,22,96,0,224,17.15493018,74.70713823
MAHARASHTRA,SATARA,2001,32,7,13,49,9,179,0,289,17.6737909,74.18052064
MAHARASHTRA,SINDHUDURG,2001,7,2,0,20,13,8,0,50,16.17094805,73.51329008
MAHARASHTRA,SOLAPUR COMMR.,2001,16,11,6,15,4,62,0,114,,
MAHARASHTRA,SOLAPUR RURAL,2001,35,14,6,40,12,90,0,197,17.65992,75.906387
MAHARASHTRA,THANE COMMR.,2001,39,37,6,69,43,212,0,406,,
MAHARASHTRA,THANE RURAL,2001,65,16,6,76,25,104,0,292,19.2183,72.9781
MAHARASHTRA,WARDHA,2001,35,12,9,98,35,89,0,278,20.80743024,78.57259106
MAHARASHTRA,WASHIM,2001,15,13,10,60,10,116,0,224,20.28228239,77.25502394
MAHARASHTRA,YAVATMAL,2001,56,31,12,125,27,177,0,428,20.04258347,78.05326372
MANIPUR,BISHNUPUR,2001,1,3,0,0,0,1,0,5,24.50712112,93.8246236
MANIPUR,CHANDEL,2001,0,1,0,0,0,0,0,1,24.2635813,94.09443844
MANIPUR,CHURACHANDPUR,2001,1,0,0,0,0,0,0,1,24.30309719,93.38671506
MANIPUR,IMPHAL(EAST),2001,7,6,0,2,0,1,0,16,24.82105807,93.66951205
MANIPUR,IMPHAL(WEST),2001,7,37,0,17,0,3,0,64,24.79400559,93.8885905
MANIPUR,SENAPATI,2001,0,0,0,0,0,0,0,0,25.08465586,94.03366234
MANIPUR,TAMENGLONG,2001,0,0,0,0,0,0,0,0,24.98312942,93.4945074
MANIPUR,THOUBAL,2001,4,14,0,1,0,0,0,19,24.54539255,93.97959894
MANIPUR,UKHRUL,2001,0,1,0,1,0,0,0,2,25.05900315,94.44129567
MEGHALAYA,GARO HILLS EAST,2001,2,0,0,2,0,0,0,4,25.82728228,90.64684925
MEGHALAYA,GARO HILLS SOUTH,2001,1,0,0,0,0,1,0,2,25.24056858,90.64560349
MEGHALAYA,GARO HILLS WEST,2001,5,0,0,8,0,0,0,13,25.49528519,90.03709947
MEGHALAYA,JAINTIA HILLS,2001,7,4,0,3,0,0,0,14,25.33959557,92.3760816
MEGHALAYA,KHASI HILLS EAST,2001,5,5,0,8,0,3,0,21,25.30376389,91.7592252
MEGHALAYA,KHASI HILLS WEST,2001,4,0,0,2,0,0,0,6,25.50088993,91.25364542
MEGHALAYA,RI-BHOI,2001,2,2,0,2,0,0,0,6,25.897066,91.84516159
MIZORAM,AIZAWL,2001,26,0,0,13,0,1,0,40,23.90781335,92.85359459
MIZORAM,CHAMPHAI,2001,7,0,0,7,0,0,0,14,23.54166581,93.24221799
MIZORAM,KOLASIB,2001,6,0,0,15,0,0,0,21,24.20200043,92.73470391
MIZORAM,LAWNGTLAI,2001,2,0,0,0,0,0,0,2,22.36102843,92.66964157
MIZORAM,LUNGLEI,2001,3,0,0,11,0,0,0,14,23.00771704,92.63512555
MIZORAM,MAMIT,2001,0,0,0,0,0,15,2,17,23.73852943,92.43308038
MIZORAM,SAIHA,2001,3,0,0,6,0,0,0,9,22.35744801,93.02827931
MIZORAM,SERCHHIP,2001,5,1,0,0,0,0,1,7,23.26386471,92.9141585
NAGALAND,DIMAPUR,2001,4,4,0,0,0,0,0,8,25.81417681,93.75074058
NAGALAND,KIPHIRE,2001,0,0,0,0,0,0,0,0,25.8188,94.8521
NAGALAND,KOHIMA,2001,6,0,0,6,0,0,0,12,25.60311429,93.78600658
NAGALAND,MOKOKCHUNG,2001,1,0,0,0,0,0,0,1,26.47891176,94.52242601
NAGALAND,MON,2001,2,2,0,0,0,0,0,4,26.69207374,95.03072989
NAGALAND,PEREN,2001,0,0,0,0,0,0,0,0,25.5225,93.6623
NAGALAND,PHEK,2001,1,0,0,0,0,0,0,1,25.63272987,94.56814564
NAGALAND,TUENSANG,2001,0,0,0,0,0,0,0,0,26.21104453,94.85809881
NAGALAND,WOKHA,2001,1,0,0,0,0,0,0,1,26.20261155,94.19908152
NAGALAND,ZUNHEBOTO,2001,2,0,0,0,0,0,0,2,26.02817821,94.50026667
ODISHA,ANGUL,2001,33,5,8,90,0,53,0,189,21.1207062,84.99839213
ODISHA,BALASORE,2001,58,32,36,92,9,68,0,295,21.48570932,87.08085828
ODISHA,BARAGARH,2001,19,8,0,41,2,30,0,100,21.13240638,83.264445
ODISHA,BERHAMPUR,2001,10,10,4,41,6,29,0,100,19.315,84.7941
ODISHA,BHADRAK,2001,35,18,23,29,5,79,0,189,20.95262735,86.81496205
ODISHA,BOLANGIR,2001,19,16,4,91,11,61,0,202,20.6163003,83.2152006
ODISHA,BOUDH,2001,6,5,1,21,3,6,0,42,20.58319074,84.12363307
ODISHA,CUTTACK,2001,34,33,39,42,1,125,0,274,20.40764065,85.77768102
ODISHA,DEOGARH,2001,8,4,2,33,0,8,0,55,21.43146202,84.81452481
ODISHA,DHENKANAL,2001,15,7,14,82,5,31,0,154,20.79887159,85.53226836
ODISHA,GAJAPATI,2001,10,3,1,13,2,7,0,36,19.12108088,84.14015092
ODISHA,GANJAM,2001,22,10,1,102,6,9,0,150,19.26326176,84.8029771
ODISHA,JAGATSINGHPUR,2001,12,16,16,13,2,30,0,89,20.11444318,86.43265259
ODISHA,JAJPUR,2001,24,14,16,16,3,42,0,115,20.85324909,86.15277301
ODISHA,JHARSUGUDA,2001,12,5,4,39,1,13,0,74,21.82705857,83.93581682
ODISHA,KALAHANDI,2001,30,17,0,22,5,9,0,83,19.78425309,83.11240438
ODISHA,KANDHAMAL,2001,34,25,4,95,15,29,0,202,20.09287862,84.02216353
ODISHA,KENDRAPARA,2001,11,15,24,66,176,57,0,349,20.60631982,86.83763248
ODISHA,KEONJHAR,2001,38,19,4,127,16,41,0,245,21.4922574,85.76276987
ODISHA,KHURDA,2001,65,32,11,28,9,171,0,316,20.05416232,85.52234834
ODISHA,KORAPUT,2001,38,13,7,56,124,132,0,370,18.82627795,82.8127847
ODISHA,MALKANGIR,2001,14,5,0,27,0,12,0,58,18.2522793,81.98293636
ODISHA,MAYURBHANJ,2001,77,31,19,141,0,74,0,342,21.89762155,86.40304081
ODISHA,NAYAGARH,2001,17,18,14,11,3,9,0,72,20.19289562,85.056147
ODISHA,NOWRANGPUR,2001,13,3,0,41,7,13,0,77,19.51304717,82.4204196
ODISHA,NUAPADA,2001,9,2,0,16,5,17,0,49,20.47130951,82.59152537
ODISHA,PURI,2001,41,24,29,13,0,32,0,139,19.83509175,85.8669899
ODISHA,RAYAGADA,2001,9,0,1,33,2,26,0,71,19.29284002,83.4586012
ODISHA,ROURKELA,2001,12,6,2,35,13,17,0,85,22.2604,84.8536
ODISHA,SAMBALPUR,2001,18,9,0,82,9,18,0,136,21.51575238,84.34958483
ODISHA,SONEPUR,2001,8,4,6,28,4,11,0,61,20.89080329,83.76852635
ODISHA,SRP(CUTTACK),2001,1,3,0,5,4,0,0,13,,
ODISHA,SRP(ROURKELA),2001,2,3,0,2,0,0,0,7,,
ODISHA,SUNDARGARH,2001,36,19,4,82,10,7,0,158,22.06354819,84.50524819
PUNJAB,AMRITSAR,2001,9,26,7,9,0,77,0,128,31.54867982,74.79883857
PUNJAB,BARNALA,2001,12,13,6,13,0,24,0,68,30.3819,75.5468
PUNJAB,BATALA,2001,8,4,6,1,0,19,0,38,31.8183,75.2071
PUNJAB,BHATINDA,2001,13,9,4,15,0,57,0,98,30.211,74.9455
PUNJAB,FARIDKOT,2001,6,7,4,11,0,20,0,48,30.59118725,74.79751554
PUNJAB,FATEHGARH SAHIB,2001,11,6,4,4,1,7,0,33,30.64290947,76.36208395
PUNJAB,FEROZEPUR,2001,22,7,11,17,0,22,0,79,30.9331,74.6225
PUNJAB,G.R.P,2001,0,0,3,1,0,0,0,4,,
PUNJAB,GURDASPUR,2001,12,14,6,4,0,21,0,57,32.04283371,75.32040644
PUNJAB,HOSHIARPUR,2001,19,13,12,13,0,46,0,103,31.5515717,75.84698574
PUNJAB,JAGRAON,2001,19,11,7,3,2,27,0,69,30.7916,75.4694
PUNJAB,JALANDHAR,2001,21,49,17,16,2,104,0,209,31.25033691,75.54400351
PUNJAB,KAPURTHALA,2001,8,9,2,20,0,34,0,73,31.33659264,75.47641166
PUNJAB,KHANNA,2001,6,1,4,0,0,15,0,26,30.7071,76.217
PUNJAB,LUDHIANA,2001,38,46,11,46,13,249,0,403,30.76596397,75.83110852
PUNJAB,MAJITHA,2001,9,6,9,8,0,20,0,52,31.7574,74.953
PUNJAB,MANSA,2001,6,4,2,3,0,3,0,18,29.91954771,75.43049229
PUNJAB,MOGA,2001,11,9,6,8,2,25,0,61,30.75654007,75.16008451
PUNJAB,MUKTSAR,2001,3,2,1,2,0,16,0,24,30.31243303,74.55187477
PUNJAB,NAWAN SHAHR,2001,11,8,4,8,0,14,0,45,31.1243,76.1156
PUNJAB,PATIALA,2001,23,46,10,128,19,232,0,458,30.21454038,76.27505894
PUNJAB,ROPAR,2001,6,6,5,13,4,33,0,67,30.9659,76.523
PUNJAB,SANGRUR,2001,15,18,10,18,4,36,0,101,30.1850452,75.89437014
PUNJAB,TARN TARAN,2001,10,10,8,11,0,27,0,66,31.4539,74.9268
RAJASTHAN,AJMER,2001,16,125,12,95,0,236,0,484,26.19930038,74.69904192
RAJASTHAN,ALWAR,2001,34,87,43,124,0,235,0,523,27.55271738,76.65359631
RAJASTHAN,BANSWARA,2001,90,59,10,112,1,151,0,423,23.45364203,74.44246868
RAJASTHAN,BARAN,2001,81,94,3,219,5,124,0,526,24.98023243,76.86210652
RAJASTHAN,BARMER,2001,13,14,13,71,0,45,0,156,25.77070908,71.50297126
RAJASTHAN,BHARATPUR,2001,48,103,24,77,0,209,0,461,27.32411858,77.21752077
RAJASTHAN,BHILWARA,2001,42,223,5,126,3,312,0,711,25.45119768,74.63947596
RAJASTHAN,BIKANER,2001,35,34,13,53,0,153,0,288,28.12489068,73.26943323
RAJASTHAN,BUNDI,2001,36,103,2,164,6,157,0,468,25.48580716,75.79984074
RAJASTHAN,CHITTORGARH,2001,67,169,7,112,5,384,0,744,24.63162376,74.80010998
RAJASTHAN,CHURU,2001,24,14,8,73,3,174,0,296,28.29330376,74.65846427
RAJASTHAN,DAUSA,2001,9,26,8,31,0,60,0,134,26.91234818,76.57342097
RAJASTHAN,DHOLPUR,2001,24,33,21,34,0,93,0,205,26.72397055,77.7447622
RAJASTHAN,DUNGARPUR,2001,17,50,3,56,0,60,0,186,23.75104808,73.84765641
RAJASTHAN,GANGANAGAR,2001,55,65,13,118,2,375,0,628,29.25678541,73.56192303
RAJASTHAN,HANUMANGARH,2001,35,22,20,98,0,241,0,416,29.18133518,74.74632573
RAJASTHAN,JAIPUR,2001,61,203,29,179,1,453,0,926,27.03345929,75.77117286
RAJASTHAN,JAISALMER,2001,2,7,3,21,0,16,0,49,26.86900839,71.18371877
RAJASTHAN,JALORE,2001,10,20,12,61,0,96,0,199,25.07578094,72.18647262
RAJASTHAN,JHALAWAR,2001,65,57,8,144,10,224,0,508,24.24725541,76.11242892
RAJASTHAN,JHUNJHUNU,2001,19,25,0,50,0,125,0,219,28.13517401,75.52840894
RAJASTHAN,JODHPUR,2001,20,53,12,128,3,263,1,480,26.67846084,73.00450847
RAJASTHAN,KARAULI,2001,21,50,10,37,0,66,0,184,26.51901556,76.96081818
RAJASTHAN,KOTA,2001,50,116,17,203,6,319,0,711,25.17571808,76.18618928
RAJASTHAN,NAGAUR,2001,22,34,14,65,0,102,0,237,27.07862016,74.14215667
RAJASTHAN,PALI,2001,25,61,15,115,2,196,0,414,25.80490394,73.55285641
RAJASTHAN,RAJSAMAND,2001,13,63,6,40,1,104,0,227,25.24894767,73.96570216
RAJASTHAN,SAWAI MADHOPUR,2001,19,42,6,49,0,97,0,213,26.25108118,76.42192839
RAJASTHAN,SIKAR,2001,13,22,15,28,0,114,0,192,27.64644059,75.29317423
RAJASTHAN,SIROHI,2001,22,19,8,29,0,79,0,157,24.79769053,72.75309132
RAJASTHAN,TONK,2001,17,50,7,84,6,142,0,306,26.15393507,75.79192216
RAJASTHAN,UDAIPUR,2001,43,118,9,68,2,127,0,367,24.44076752,73.8402984
SIKKIM,EAST,2001,7,1,0,0,8,0,0,16,27.29600353,88.74908392
DELHI,EAST,2001,24,39,11,56,11,27,0,168,27.29600353,88.74908392
SIKKIM,NORTH,2001,0,0,0,0,0,0,0,0,27.81381005,88.54200565
TRIPURA,NORTH,2001,29,11,3,16,0,60,0,119,27.81381005,88.54200565
DELHI,NORTH,2001,28,53,4,26,6,9,0,126,27.81381005,88.54200565
SIKKIM,SOUTH,2001,1,0,0,0,4,0,0,5,27.27802162,88.37538595
TRIPURA,SOUTH,2001,29,7,5,18,0,59,0,118,27.27802162,88.37538595
DELHI,SOUTH,2001,65,170,15,96,24,22,0,392,27.27802162,88.37538595
SIKKIM,WEST,2001,0,1,0,0,2,0,0,3,27.3032,88.2072
TRIPURA,WEST,2001,33,17,6,20,0,97,0,173,27.3032,88.2072
DELHI,WEST,2001,45,99,18,65,2,22,0,251,27.3032,88.2072
TAMIL NADU,ARIYALUR,2001,6,14,3,38,4,8,0,73,11.19051484,79.22249644
TAMIL NADU,CHENGAI,2001,20,8,16,58,8,57,0,167,12.69,79.9812
TAMIL NADU,CHENNAI,2001,28,0,13,70,209,111,0,431,13.05809891,80.28139152
TAMIL NADU,CHENNAI RLY.,2001,0,0,0,5,0,2,0,7,13.0624,80.2585
TAMIL NADU,COIMBATORE RURAL,2001,18,27,16,75,25,49,0,210,11.004556,76.961632
TAMIL NADU,COIMBATORE URBAN,2001,4,10,5,19,38,28,0,104,11.004556,76.961632
TAMIL NADU,CUDDALORE,2001,16,2,9,137,50,21,0,235,11.57587301,79.63002365
TAMIL NADU,DHARMAPURI,2001,17,30,6,65,8,18,0,144,12.3001412,78.11509813
TAMIL NADU,DINDIGUL,2001,14,35,8,48,11,8,5,129,10.37780139,77.7801128
TAMIL NADU,ERODE,2001,9,14,4,72,16,25,0,140,11.26701216,77.42034335
TAMIL NADU,KANCHIPURAM,2001,21,9,6,30,9,12,9,96,12.49642476,80.0882036
TAMIL NADU,KANYAKUMARI,2001,6,9,5,27,170,29,0,246,8.1834663,77.32053064
TAMIL NADU,KARUR,2001,4,8,2,21,2,14,0,51,10.79532777,78.08749687
TAMIL NADU,MADURAI RURAL,2001,13,23,5,52,8,69,0,170,9.904313833,78.01366033
TAMIL NADU,MADURAI URBAN,2001,2,18,12,20,52,24,0,128,9.939093,78.121719
TAMIL NADU,NAGAPATTINAM,2001,12,25,4,55,13,8,0,117,10.78946816,79.79437299
TAMIL NADU,NAMAKKAL,2001,7,16,4,39,13,18,0,97,11.33766638,78.14624841
TAMIL NADU,NILGIRIS,2001,8,5,2,6,5,16,0,42,11.44236166,76.66146422
TAMIL NADU,PERAMBALUR,2001,3,11,0,18,0,12,0,44,11.26013776,78.86034012
TAMIL NADU,PUDUKOTTAI,2001,5,24,2,32,4,25,0,92,10.13051482,79.05444484
TAMIL NADU,RAMNATHAPURAM,2001,13,17,4,59,12,16,0,121,9.312869952,78.99185362
TAMIL NADU,SALEM RURAL,2001,8,29,8,53,7,7,0,112,11.6293242,78.2478258
TAMIL NADU,SALEM URBAN,2001,2,10,3,7,13,11,0,46,11.6376,78.1507
TAMIL NADU,SIVAGANGAI,2001,5,10,4,17,2,9,0,47,9.960306581,78.56535729
TAMIL NADU,THANJAVUR,2001,0,34,0,53,46,31,0,164,10.38769226,79.31948691
TAMIL NADU,THENI,2001,4,7,4,29,8,9,0,61,9.924066667,77.43458833
TAMIL NADU,THIRUNELVELI RURAL,2001,57,53,3,155,62,13,0,343,8.457430704,77.70549636
TAMIL NADU,THIRUNELVELI URBAN,2001,3,10,0,2,21,6,0,42,8.741222,77.694626
TAMIL NADU,THIRUVALLUR,2001,16,11,6,70,17,16,0,136,13.2758581,80.19724703
TAMIL NADU,THIRUVANNAMALAI,2001,5,33,1,53,9,18,0,119,12.41931895,79.23265632
TAMIL NADU,THIRUVARUR,2001,7,26,4,50,18,2,0,107,10.36892741,79.60322894
TAMIL NADU,THOOTHUGUDI,2001,12,0,1,94,47,36,0,190,8.72096117,78.13832691
TAMIL NADU,TRICHY RLY.,2001,0,0,0,0,3,0,0,3,10.805 ,78.6852
TAMIL NADU,TRICHY RURAL,2001,6,17,3,22,5,2,0,55,,
TAMIL NADU,TRICHY URBAN,2001,5,6,4,9,51,18,0,93,,
TAMIL NADU,VELLORE,2001,13,0,8,54,16,5,0,96,12.78488263,79.02643284
TAMIL NADU,VILLUPURAM,2001,37,37,14,78,20,42,0,228,12.06557135,79.68989101
TAMIL NADU,VIRUDHUNAGAR,2001,17,19,2,81,10,20,0,149,9.468872196,77.87641469
TRIPURA,DHALAI,2001,11,0,2,4,0,11,0,28,23.78136048,91.94654283
UTTAR PRADESH,AGRA,2001,66,132,63,110,114,327,0,812,26.99512975,78.05278292
UTTAR PRADESH,ALIGARH,2001,50,78,44,90,54,258,0,574,27.93748577,78.00146831
UTTAR PRADESH,ALLAHABAD,2001,42,75,56,85,105,226,0,589,25.39203866,82.05172447
UTTAR PRADESH,AMBEDKAR NAGAR,2001,19,29,14,15,9,87,0,173,26.39119026,82.68282143
UTTAR PRADESH,AURAIYA,2001,11,25,21,13,7,26,0,103,26.66892394,79.42637057
UTTAR PRADESH,AZAMGARH,2001,11,41,32,14,15,81,0,194,26.00829095,83.01220251
UTTAR PRADESH,BADAUN,2001,47,41,62,51,14,76,0,291,28.08595673,78.997108
UTTAR PRADESH,BAGHPAT,2001,15,17,20,18,12,64,0,146,29.0457935,77.302663
UTTAR PRADESH,BAHRAICH,2001,14,19,19,15,17,62,0,146,27.6917763,81.46779783
UTTAR PRADESH,BALLIA,2001,18,17,19,7,22,35,0,118,25.86075638,84.03651979
UTTAR PRADESH,BANDA,2001,27,18,21,51,18,50,0,185,25.3518859,80.52487391
UTTAR PRADESH,BARABANKI,2001,41,55,35,37,21,188,0,377,26.92277703,81.35762351
UTTAR PRADESH,BAREILLY,2001,93,98,57,110,40,421,0,819,28.51101941,79.43187072
UTTAR PRADESH,BASTI,2001,18,23,22,28,12,48,0,151,26.83388045,82.69790591
UTTAR PRADESH,BIJNOR,2001,38,59,31,67,38,230,0,463,29.31397426,78.45098815
UTTAR PRADESH,BULANDSHAHAR,2001,31,64,45,71,219,227,0,657,28.34875862,78.01082759
UTTAR PRADESH,CHANDOLI,2001,4,11,16,13,0,22,0,66,25.11808596,83.25307063
UTTAR PRADESH,CHITRAKOOT DHAM,2001,8,3,8,16,4,2,0,41,25.15992462,81.07666088
UTTAR PRADESH,DEORIA,2001,7,33,27,15,15,44,0,141,26.42218857,83.82440707
UTTAR PRADESH,ETAH,2001,57,59,68,68,24,156,0,432,27.59115531,78.70021858
UTTAR PRADESH,ETAWAH,2001,20,22,29,25,26,52,0,174,26.7881767,79.07621806
UTTAR PRADESH,FAIZABAD,2001,22,26,17,24,18,49,0,156,26.60589185,82.00783531
